company,overall_rating,sentiment,review,industry
KPMG,3,Neutral,"Great perks, good activities, good career growth, great training Tough working hours and relatively low pay.",Various
Adecco,5,Positive,They are flexible with your schedule. They do not help you get key industry experience.,Various
Google,5,Positive,"It is a very free environment. I am able to work freely and they give people here a lot of freedom at work. I really am enjoying the experiences. I would rather be living in the south where my family is, but that isn't an option with most companies in this industry. Overall, the cons are very few.",Various
IBM,3,Neutral,Learning experience is great. The team i worked with was excellent and we had a great manager The benefits and business practices are what makes IBM a challenge. Company is penny pinching on things that generate a burden on employees.,Various
Thomson-Reuters,3,Neutral,"Thomson Reuters is a big international company. You get good opportunities to talk to people with different background and utilize free learning materials across the organization. Many people change positions within the company, so you are able to learn new stuff all the time. As many other big firms, efficiency sometimes can be an issue, since getting approval and resource allocation takes time.",Various
Deloitte,4,Positive,"- Great people to work with
- Exposure to senior staff
- Steep learning curve
- Large clients
- Lots of client interaction
- Good pay - Some long hours (09:30 - 23:30)
- Lack of work at times",Various
Oliver-Wyman,5,Positive,"Good work/life balance 
Good starting salary
Opportunity for advancement 
Great benefits You can't specialize in a vertical early on",Various
IBM,3,Neutral,"Quality work, good policies & tech oppurtunities worst management, they don't know how to manage and only care about billing and utilization that employee",Various
EY,3,Neutral,"Good infrastructure, culture, working environment and friendly nature. Not good for longer-term in IT, no skill development speciality, high politics,  no scope for carrier growth.. Boss kind of nature in managers.",Various
Pearson,1,Negative,They used to be a great company to work for They do not value experience,Various
KPMG,3,Neutral,"- Bright, young, likeminded people
- Exposure to high level management early
- 'Big 4' name - Management don't listen
- Resourcing
- Long hours during busy periods
- Underpaid for the hours",Various
IBM,2,Negative,"Work at home 
Training 
Benefits Work at home - your day and week never ends, managers expect you to be available 24/7 and schedule meetings around the clock 

Benefits - you have to read the fine print -. Benefits sound great but there are many that aren't what you think they are ... Disability Insurance at 66%? Read the fine print in the 70 page contract, IBM doctors in Manilla will tell you that aren't disabled and the contract says their Dr is the overall decider",Various
KPMG,5,Positive,"Global opportunities, autonomy, variety of work Salary compared to other big 4, promotions not always based on performance",Various
KPMG,3,Neutral,The company will constantly challenge you by exposing you to new technical accounting topics and opportunities to prove yourself in a tough situation. There are many high profile clients that you have the opportunity to work on. The reputation of working at a Big 4 accounting firm is good. Majority of the people are intelligent and motivated. The tough situations are caused by high turnover. People quit because the workload is high. Management doesn't do anything to change the workload which results in even higher workloads and more people leaving; vicious cycle. Management makes claims to change things but things never change. Compensation is low for the hours worked. I honestly believe there is collusion between the Big 4 to keep wages low.,Various
Egon-Zehnder,4,Positive,a good place to work for freshers not a good place for interns,Various
American-Express,3,Neutral,"Flex work hours,  good colleagues Reorganization under going,  uncertainty",Various
Royal-Mail,1,Negative,"Flexible starting times offered for everyone, so you will find times that work best for you. - Management do not know what they're doing, some do bully other staffs out of stress.
- Management do not know what they're doing at times. New staff are not explained anything at all, and they're forced to learn to what to do on their own, which often the managers would shout at them for having nothing to do.
- Outdated practices that are inefficient.
- Management lose time sheets and log the wrong working hour at times, so for certain weeks you'll find that you're being paid the wrong amount.",Various
UK-Ministry-of-Defence,2,Negative,"There is lots of opportunities to get on and the ability to meet amazing individuals and make long term friends. There is a culture growing within senior management levels of bullying and harassing staff to work impossible hours, against a government imposed pay ceiling at 1% per annum for the life of this parliament, following a pay freeze imposed by the coalition in the last parliament. Budget cuts impacts on recruiting full time civil servants and they are unable to hang on to their moderately behaved staff because of impractical and demonic working conditions. Pensions are not what they were, full salary pensions made up previously for the delta between private and public sector pay, that is no more.",Various
ALDI,1,Negative,"Good people to work with. Everyone is in the same boat at store assisstant level and below. Everyone has a good understanding with each other and the stresses of the job.

Good pay in regards to supermarket wage (not in the grand scheme of things) Really unsociable hours.
management team lack any motivational skills. 
absolutely no opportunity for career progression unless you lick the manager's bottoms. They don't care how good you are at the job just if you like to have a pint with them after the shift. 
Head office and especially payroll are seriously incompetent. On numerous occasions they messed up pay and took weeks to sort it out, WEEKS!
If you don't want to challenge yourself in any aspect then this job is for you. Same thing everyday and zero sense of achievement.",Various
Oracle,3,Neutral,"Intelligent colleagues, good extras (health care, etc), and a decent work life balance make it a good place to sit back and see out your final years. Career progression seems difficult to non existent in many areas.
Salary increases and or bonus' seem non existent outside sales.",Various
Jurys-Inns,3,Neutral,"Meeting new people 
Expanding on customer service skills Poor pay
Unorganised 
For 16hrs a week, I only get one shift",Various
J-P-Morgan,2,Negative,"Pros:- Good training for first 3 months, Gets to manage the team(if lucky), Cons:- One mistake and you are screwed for that year",Various
New-Look,2,Negative,"The only perk to the job is the discount  and flex holidays if you get the chance to take them otherwise it's very stressful company to work for. The hours are forever being cut, with a lot of pressure put onto teams to achieve targets when not all management themselves help to achieve and at that you never get much recognition for all hard work you do or with great results you achieve.

You are only entitled to a lunch if you work over 6 hours and if you want a 15 min break on a 6 hour shift you start 15 mins earlier unpaid. 

Rotas are rarely done in advance and forever changing making it difficult to make appointments outside of work or plan anything. 

Progression within the company is just as difficult no matter how much or little experience you have it's about who you know if you stand a chance to progress within the business no matter how hard you work and want to work your way up within the company",Various
IBM,5,Positive,"Great talented and friendly people!  Lots of flexibility in organizing one's work, choosing projects, deciding how much  one want to get involved, etc... .  Lots of resource at your disposal!  Within IBM I always felt very protected and respected.  Great benefits. Frequent layoffs lead to constant  rumors true or false,  which lead to a state of fear.  Employees tend to forget what they have; instead focus on what they could lose and often become paralyzed.",Various
Pizza-Hut,3,Neutral,Ican not think oy any it is a hostile enviroment,Various
McDonald-s,1,Negative,"*at least half the employees are cool and will help if asked
*most of management was polite
*food is half off and soda and water drinks were free
*gave you free food if you were calles in *constantly cut hours or cut necessary amount of people working to save more money for the owners
*nothing was ever done to address communication issues with everyone, and instead picked on a few people
*essentially a few people had to do everything to get anything done
*nothing was properly cleaned until inspection
*schedules were never flexible
*never kept up with whether or not the food was expired unless if it was the fresh quarter",Various
EY,5,Positive,Friendly environment.  company culture is good and people-oriented. Given lots of opportunities to do hands on work that you will do as an entry level staff. Great location and view in the office. Benefits and pay not impressive. no OT pay. May be expected to work overtime. Not given a structured learning programme. Got to learn everything on the job.,Various
Deloitte,3,Neutral,Big brand; recently winning many big projects in India. Some of the teams work in coteries; nepotism is big.,Various
Oracle,3,Neutral,Free trainings available for employees Not focused on keeping employees happy,Various
McDonald-s,2,Negative,"fun, easy, not hard, long shifts long shifts, night shifts, poor communication",Various
McDonald-s,3,Neutral,"Social side, busy, fun, fast, easy Stressful
Toxic environment
Boring 
Bad management 
Customers",Various
Thomson-Reuters,3,Neutral,The caliber of people who work there is fantastic as are products It is an extremely bureaucratic company with lack of advancement opportunities for female executives,Various
EY,5,Positive,"Wok life balance is good Seasonal work l, hence too much work load",Various
IBM,2,Negative,No obvious pros as a contractor... Discussions with permanent staff don't paint a pretty picture either. Lacking direction from senior management. Employee appraisal process seems complex and unrelalistic. Lack of motivation or moral noted in employees.,Various
SSE,1,Negative,"they pretend to care, they invest in PPE discourages  personal development and growth, wasteful, poor pay, lack of skill in some departments like HR, serious like of cultural diversity, very exclusive",Various
Apple,3,Neutral,"Great company.  Good stock sharing program and benefits.  The people are what really makes Apple a great place. The company is getting huge and so many internal processes are broken.  The world of IS&T is especially challenging to get anything done in a timely manner.  

It can also be difficult to maintain a healthy work/life balance.",Various
J-P-Morgan,2,Negative,"The only remaining good benefit was time-off Depending on the group, mobility is just a nice theme to talk in townhalls. Management considered people moving to a new role as entry-level, even after years of experience, Moreover, they mentioned salary should be adjusted accordingly. If this is what you want for mobllty, yes, it's available.
Salary was frozen for many in Tech since '08 crisis because ""the company is not doing so well or ""didn't have a good year"".",Various
Marriott-International,1,Negative,"24 hours so you can work pretty much anytime
Paid time off after 3 months The pay sucks
The hours can suck. Quite a few times I've worked the night shift and then the morning shift back to back
High employee turn over rate(people quit a lot)
There's a lot of drama
There seems to be a new manager every few months
They promote people based on how long they've been with the company not their abilities placing some one who doesn't know anything about management I'm a high management position. 
Everything is constantly changing",Various
Morgan-Stanley,5,Positive,Good opportunities to work on various cutting edge technologies Stale careers / too many oldies,Various
EY,3,Neutral,"Lot of training to develop interpersonal skills, great team work, huge client and work different work culture Low salary comparing to other Big4",Various
McDonald-s,2,Negative,"One free meal, at the end of every shift and employees get discounts Fast paced environment rude customers bad management",Various
IBM,3,Neutral,"-good benefits
-every employee gets their own office
-exposure to fortune 500 customers - too much politics
- slow to change
- internal tools are outdated",Various
Goldman-Sachs,5,Positive,"Culture, People, Campus,Pay scale, Flexibility Office location, Promotions, Appraisal,none, none",Various
Hilton,5,Positive,"Fantastic company, culture, benefits, and people!  Large company yet personable, storied brand, great organizational culture, retain excellent talent, and spend a lot of money on technology for a non-tech company. Hilton does not offer much for education reimbursement.",Various
Pizza-Hut,3,Neutral,"Given a ton of room to compensate our team members who are our backbone and we cannot operate at a high level without them. No balance between work and family life as they state is important to them.  They do not care, just burn them out and keep rolling in new GM's.",Various
Goldman-Sachs,4,Positive,"Good Culture, Good Events, Good Deal flow Long Hours, Stressful, Tiring, Location",Various
Deloitte,4,Positive,Bring your whole self to work Hierarchal structure and corporate focused,Various
University-of-Michigan,5,Positive,great great great great great great great great great great great great great great great great great great great great great great great great great great great great great great there is nothing to complain about. Great place for a phd. Just want to start my career earlier so that I could save time to enjoy life.,Various
HSBC-Holdings,2,Negative,"People are great to work with
Branch teams genuinely care for each other Low pay
Downsizing of branch staff has devastated moral, due to having to do 2-3 peoples work
Manager dependent, recruitment is all based on how well you did last year, so there are some very poor managers who have got to where they are and cannot manage to save their lives.",Various
GlaxoSmithKline,2,Negative,That I got made redundant when I did I've never known any company I have worked for in my 40 years to blatantly encourage their teams and employees to be competitive towards each other so much so that its unbearable to work with some people.  Constant back side kissing becomes boring after a while and just shows distaste towards the company and shows that they encourage poor behaviour,Various
Morgan-Stanley,1,Negative,"First year of employment is only will be good as management will make you feel good by taking your suggestions, ideas Salary increase is only they give on bonus and not in base salary which is not good growth to employees financial development
Title donot match with responsibilities",Various
IBM,4,Positive,"Large Company, Can move within the company on various assignments. Lost sight of employee focus, high pressure to meet numbers",Various
Standard-Life-Aberdeen,1,Negative,Good working culture.  Fair on medical and benefits and bonuses Unstable situation after merger and acquisition.,Various
Pearson,1,Negative,"Locations, great supervisor and opportunity to be creative and like what I do is what keeps me here. Benefits are not consistent across all areas of the company.  Pay and advancement is limited.  We have lost many great, talented people.  Not a very professional culture across the board.  Needs a lot more structure and best practices.  Not a current, modern company.",Various
Deutsche-Bank,3,Neutral,"It all depends on the boss. With the right boss this shop offers a lot. 
I guess my cons are more or less similar to competitors. 
If you swim down the river it is great. If you question the management you are history. 
I was satisfied until I decided to leave as I made enough money to have a happy life. 
I witnessed other who got the boot and where of course unhappy. Culture has changed significantly and is the worst I have ever seen. 
Management by fear. Most decisions are not made in the interest of the shareholder. 
I witnessed many illegal transactions and cannot believe that regulators keep their eyes closed although they sit day and night next door in the Wall St office.",Various
Oracle,2,Negative,"Good base salary and incentives Lack of strategy, ambiguous, complex processes, lack of clarity, human element missing",Various
PwC,5,Positive,Good environment to learn and experience so far nothing to claim,Various
Morgan-Stanley,3,Neutral,It’s easy-going and not a very stressful environment. Work life balance is quite good. Great office to work in. Very restrictive about working from home. Salary is not very competitive. Upper management lacks in terms of communication.,Various
IBM,2,Negative,"* Good health benefits
* Can work from home if needed
* Decent amount of vacation
* Pay isn't horrible * IBM is moving all jobs out of the US
* You are always a target for a lay-off - If India or China can do your job you WILL be laid off
* Bonus pool non-existent
* Raises non-existent
* IBM only cares about their stock prices and will cut anyone and anything to get there.",Various
Hilton,2,Negative,"international, senior management, to have international moblity, hotel industry unhappy with salary, very little increased",Various
KPMG,4,Positive,Easy access to continued education and on the job training Depending on the department there is not room to move up. Promotions are rare in internal departments.,Various
Oliver-Bonas,3,Neutral,"60% off clothing
Paid £9.85 p/h (London wage)
Nice products
Overtime available in your own/different stores
London stores get really busy so there was always something to do the majority of the time Management team were super cliquey 
Would watch back the cctv when a member of management wasn’t in to see what we were doing
Progression outside of the store is non-existent
Contacted days/hours meant nothing while doing the rota
The job of a supervisor gets put onto team members being expected to open/close the store so the managers don’t have to, for no extra pay
Management didn’t like people forming friendships within the store
High staff turnover
Job was taken way too seriously considering it was retail",Various
McDonald-s,3,Neutral,"They pay relatively well compared to other places. A majority of the people are nice and helpful when you work with them. Policies are not consistency between all the stores in the franchise which makes it hard to have any real consistency, Claims to be ""People First"" but in reality that seems to be largely untrue and they seem okay with breaking people down and working them to the bone.",Various
IBM,4,Positive,IBM India is a good place to grow IBM does not pay good money.,Various
Aon,1,Negative,"Commute, otherwise not too man Bad management who take credit for your work",Various
Oracle,3,Neutral,"chill , less pressure, good rep less hike, less learning, less money",Various
McDonald-s,2,Negative,"The money. Half priced employee meal. Some decent coworkers. Learning the true meaning of a fast paced job work area. The long hours. If you're new, the older employees will take advantage of you and make you do all of the things they don't want to.",Various
BNY-Mellon,3,Neutral,Still a steady place to work despite the frequent management changes. Not much professional outlook or room for upward mobility.,Various
J-Sainsbury,1,Negative,"Nice colleagues
10% discount on things in store and at argos Managers are childish
If your supervisor is a guy expect girls to get special treatment",Various
Goldman-Sachs,5,Positive,"Amazing culture. I wanted to find a place where the people strive to motivate each other, and I found that every day at Goldman Sachs. The people there will develop you professionally and you will get meaningful responsibilities very fast. I was able to be open about how I truly felt during the internship, and everyone gave me an intelligible and beneficial response, even if it was discussing moving divisions or to another company. In addition, GS has moved to a more merit-based promotion structure, so it'll be easier for those who excel among the best to push ahead. Nobody will micromanage you. Placements seem extremely random. I emphasized my interests in my interviews, and I was placed in an unrelated role. It's the same for being hired on full-time.",Various
Deutsche-Bank,1,Negative,"* Sufficient leaves
* WFH
* Work life balance
* If you are lucky, you can get a good manager This list is not going to end for sure
* After working for 2.5 yrs you expect smooth exit, but HR is like wait Hold my beer, What is the process again?
* After leaving the bank, I received my full salary for the last month (includes 7 days extra pay), had to call my manager and inform about this and get the thing sorted.
* After 10 days asked them where is my experience certificate, HR team says we just came to know 10 days ago you are leaving, it will take another 10 days, Wow process said someone.
* HR is just a lazy guy, eats money and does nothing.
* Want to work here, go ahead on your own risk, communication team consist of many saints, and hope you never have anything to do with them.
* Are you someone who is interested to speak an conferences, even if its for open source, look away this is not the organization you want to work for.",Various
Microsoft,5,Positive,Working with customers in different industries around LATAM solving complex challenges and business needs Competitive environment lots of orchrestations required,Various
Deloitte,3,Neutral,"Resources everywhere, great facilities, enthusiastic employees On boarding process is clinical and cold. Good luck getting one on one coaching or any actual shadowing before getting thrown into an engagement.",Various
IBM,3,Neutral,The benefits are not too bad The technology can be frustrating,Various
Unilever,2,Negative,"Unilever has great company perks. Also great opportunity to come in and put your own stamp on a project at the production level. Scale of work is large, expected to work 50-70 hours weekly. I had colleagues who worked 80+ a week at times.",Various
BNY-Mellon,2,Negative,Great social aspect to the job Work could be described as monotonous at best. Progression was slow and salary was terrible.,Various
REED,2,Negative,"Very good training when at centralised training events, which is only getting better.
Reputable brand to work for Far far too much middle management, people being made area manager for the sake of it. 
Seems like a bit of a boys club, friends of directors/managers are given management positions that don't need to exist, resulting in a too many chiefs scenario. 
Some very very poor lower level management, very old fashioned recruitment. It's not the 90's any more!
Overall poor bonus structure",Various
HSBC-Holdings,2,Negative,Opportunity to work in Manhattan. No growth with the company.,Various
Microsoft,2,Negative,Happy place to work and chill Good people in the end but rigorous in action,Various
EY,1,Negative,"The only good thing about getting into this company, is that you team up with people that jus graduated from university The assigned tasks are very mechanical and the work in general is static, you do not have the chance of showing your talent since there is not much expected from your work",Various
McKinsey-and-Company,3,Neutral,It looks good on your resume The work is largely silly and meaningless,Various
Morrisons,1,Negative,"Team are great within stores I gave years commitment to Morrison’s and due to ill health was let go. Management don’t understand and put pressure on your return. 

Management expected to constantly work over the their contracted 43 hours but never paid additional for it.

Too much of workload expected with the very little staff left in the stores after cuts.

Management are tell - never help out. The senior management team are horrendous (regional).",Various
Pearson,4,Positive,"-Good pay if you are efficient
-One of the better ""temp"" jobs
-Interesting work -Too much time between projects
-8 hours a day of scoring papers does get fairly tedious",Various
Boston-Consulting-Group,5,Positive,Nice colleagues and great atmosphere Long hours and high uptime,Various
Hays,5,Positive,Great environment to work in! High standard of training and management support. Excellent team environment and colleagues are brilliant. Always someone to offer help when needed and a feeling that others want you to do well and will help you to get there! Great social aspect within the office. Good benefits and incentives but commission structures are challenging.,Various
Deloitte,4,Positive,"Good place for learning experience, places you under pressure to learn quickly. Great network of people. Expected to put in long hours, sometimes unrewarded.",Various
IBM,3,Neutral,"Varied Work
Innovative solutions
Competitive Salary
Growth Opportunities Lack of commitment to training
Reduced control of working location as a consultant",Various
Roche,1,Negative,"Good location, nice office. 
The company often employs fresh-graduates, so it can be your first multinational experience. Salary is lower than average on labor market. The yearly bonus depends of your relationships with managers.
No career opportunities.
The job is monotone and boring.
Meetings and trainings are often only in Hungarian, even if there are foreigners who doesn't speak Hungarian very well.",Various
Topshop,3,Neutral,"3pm finish Fridays
25% off Arcadia brands
Sample sales Work environment, old tech and tools",Various
IBM,5,Positive,"- flexible working conditions 
- autonomy and empowerment 
- ability to collaborate with geniuses every day
- company has a genuine purpose in the world 
- developmental opportunities are vast
- Learning is encouraged and supported 
- diverse and inclusive workplace - bureaucratic 
- slow at times",Various
McKinsey-and-Company,4,Positive,"-Prestige
-Great benefits
-Smart people
-Variety of experiences across industries, functions -Competitive
-Need to be aggressive
-Unfair staffing and reviews",Various
Citi,3,Neutral,Growth in the banking industry via experience Salaries are not very competetive,Various
University-College-London,5,Positive,I am happy with the management. Salary is low but job satisfaction is high.,Various
HSBC-Holdings,3,Neutral,Flexible schedule free parking unstable work environment no direction lack of leadership,Various
HSBC-Holdings,5,Positive,for freshers it is best company project are not of your choice,Various
Oracle,5,Positive,Work Life Balance is good RSU benefit is not there,Various
SAP,4,Positive,"company culture, diversity, innovation, enterrpise business process slow salary movement, few chances to move to senior management as foreigner",Various
Tesco,3,Neutral,"Good salary, friendly staff, gave training on shop floor and tills Sometimes payment is not correct, and always working under pressure due to busy environment and less staff.",Various
Deloitte,1,Negative,"Used to be an amazing firm, good learning opportunity The management has become high headed and greedy",Various
Capita,2,Negative,"Pretty much what you should expect a call centre to be; pretty awful but not the worst place in the world,  I've worked in worse places. 

Advancement opportunities if you want them. 

Easy job to get if you've been unemployed for a while - they'll take anyone! Helps heal your CV, so you can move on 

Managers generally ok You are a cog in a machine and the machine doesn't give a rat's * about you, at any level. 

Dirty conditions: silverfish on the toilets, broken urinals that overflow, drinking water that has ""bits"" in it, dust covered everything etc 

Everything done on the cheapest way possible, constantly reminded that it is an outsourcing company.",Various
Google,3,Neutral,"Decent work life balance. Respectful work environment Fewer technical and career growth opportunities. Chaos, competition and increasingly negative work environment.",Various
HSBC-Holdings,5,Positive,Great work environment. Good learning. Good pay Nothing as such apart from process work.,Various
Ryan-LLC,4,Positive,"Flexible work schedule, great environment for professional growth, always seeking to improve. Unclear career path. Training is obscure for Business Development.",Various
Randstad,2,Negative,"Great training programme and great place to spend the first 1-2 years of your recruitment career. Salaries are well below industry average.
Commission schemes are also well below industry average.
No consideration for work - life balance

Everything is not as it seems when you are sold the dream. Be very very careful",Various
Citi,1,Negative,"Little pros to this company Communication , all about the bottom line",Various
CarShop-UK,5,Positive,Management are good and the team is great. Working Saturdays but we just get on with it.,Various
Google,2,Negative,"It’s google, the name, the perks, the doors it opens. They all get boring after a couple of months but they are nice. It’s not as it used to be
The people that have stayed are political masterminds that don’t care about doing a good job, but keeping their position and creating a(fake) image of how amazing initiatives they’ve come up with.",Various
Oracle,3,Neutral,"You get to work with really smart people, many are very committed. No raises since implementing dividends.  Basically, employees gave up raises to pay dividends to share holders.  Even promotions come with increase in responsibility but no increase in pay.  with rising health insurance costs and inflation, most people have less net income than when they started many years ago - even those with long tenures of employment",Various
Goldman-Sachs,2,Negative,They finally gave us free coffee... Lol A LOT Not very there to support you,Various
Bloomberg-L-P,2,Negative,"- Great pay
- Great benefits (no-fee health insurance, access to nyc & london museums for free)
- 3 month new hire training program is a good opportunity to make some friends Everything at bloomberg is legacy. Code runs directly on hardware on machines in the datafarms. Some servers are IBM and solaris, not linux, and don’t even support the c++ compilers from 2011.

Most senior devs have been in the company since college and haven’t learned anything new about the world of coding for years. It is tough when your team lead is both a friendly person but also hasn’t heard of basic coding tools, like `curl`.

I have friends who entered the company with me just a year or so ago out of college and spend most of their time writing fortran. (If you don’t know what fortran is, and you’re under 40, that’s probably a good thing.) Bloomberg Terminal frontend apps are written in an esoteric javascript framework called Rapid, which is a major headache and won’t help you build skills in any modern frontend framework.

Bloomberg is a good first job out of college in that you get a great pay and great benefits and can use that to establish yourself in a new city (probably nyc) and save up some money / pay off loans. But if you care about growing as a developer, and if you will be unhappy in an organization where people aren’t passionate and there are few opportunities to really learn, leave quickly.",Various
Thomson-Reuters,3,Neutral,"great place to work
work life balance less compensation
Too many responsibilities without appropriate compensation",Various
Arcadia,3,Neutral,"huge amount of training and opportunities for development. The induction program ensures that everyone is up to date on company history and brand awareness, as well as training on the technical side of the job. Very fast-paced and a good place to throw yourself in the deep end as a graduate A lot of office politics. As a large company, the hierarchy is quite strict and there are time restrictions on when you can get promoted, which means that you can be left feeling short changed a lot of the time as you end up doing a job a level higher for over a year without getting paid for it",Various
McDonald-s,4,Positive,Working at McDonald's gives you opportunity for growth. It also taught me how to multitask. If you can't handle pressure it may make it more difficult for someone to work here because there are days where it can get extremely busy.,Various
Apple,3,Neutral,Great company to work for as far as people and excitement. Great diversity and perks. Very fun and meaningful work. Salary is way to low for the amount of work you do and where you live (the SF Bay Area),Various
Deloitte,3,Neutral,"benefits, diverse colleagues, company treats employees well lack of autonomy, slow growth trajectory, client services suck",Various
EY,5,Positive,work with f500 companies on meaningful projects very long hours at times,Various
Deutsche-Bank,1,Negative,"Some smart people, Good benefits Very political environment and financially stressed.",Various
Citi,1,Negative,"Nothing good to talk about. Everything is bad about this department. All the managers are just incompetent, when any employee complains about work environment, they threaten them with dire consequence.  Inspite of many employees complaining to the upper management and many resigning their jobs (hence the constant stream of openings) they keep promoting the offending managers.  I have seen employees resign in tears after being targeted by their managers",Various
McDonald-s,3,Neutral,"flexible hours
Long hours are given when needed
Family environment Low hospitality
Work is not appreciated",Various
KPMG,2,Negative,"Great experience of a consulting environment with lots of work opportunities High work pressure, poor management in the team",Various
Primark,1,Negative,"Staff were friendly and understood how you were feeling. Worked at Primark for roughly 3 months. 
Was given a department, and given 3 hours to make sure it was clean, stocked, as well as doing other jobs on the shop floor, whilst achievable, management didnt take into consideration that whilst you were folding, customers were unfolding meaning there was no way you could get your work done. 

The pay was terrible, minimum wage and you was worked till you were practically dead

You had meetings every morning telling you the sales as if you were accountable for them. you cant force customers to buy clothes?

You had to sell gift cards over the christmas period.. again, unrealistic as you can only suggest to customers to buy them

Management are unprofessional, would speak about me to other colleagues on the shop floor 

Because you was so overworked, it was difficult to interact with customers and give a good standard of customer services. 

For the 3 months I worked in Primark, I developed anxiety and my depression got worse. Even though I had no backup plan, it was easier to be unemployed than work for a company which is a disgrace. 

I'd like people to consider why primark is so cheap as compared to other retailers. Businesses make profits due to (profits minues their production, delivery, wages ect costs) For primark to be so cheap, something along the chain must be being abused, eg staff  pay, I don't want to go into production as who knows who primark employs to do that.",Various
PwC,1,Negative,"Team environment, some teams don’t suck. Worked 9am-2am for 3 months and got a “thank you” at the end.",Various
Korn-Ferry,4,Positive,"- Great people
- Good working environment
- Employee friendly office location
- Competetive basic salary
- With HMO benefits - Slow career growth opportunities
- No annual salary increase",Various
J-P-Morgan,2,Negative,The benefits and 3 week vacation when you first start. Some the leadership team within Corporate Investment Banking are not positive leaders and do no lead by example.,Various
Oracle,3,Neutral,"Smart coworkers, lots of talent and potential, good starting salary Very political, unorganized, low opportunities for upward growth",Various
Everyone-Active,2,Negative,"Free membership, work with some decent people Alot expected but not alot given in return",Various
